start	end	text
195400	198240	更聪明的记忆机制也在不断的迭代
198240	198960	所以说啊
198960	201520	我们不应该基于当前技术的局限
201520	202640	去费那么大劲
202640	206640	搭建一套可能很快就会过时地复杂的个人系统
206640	209760	用户花大量精力去手动管理上下文的必要性
209760	211240	正在飞快地减少
211240	213800	我觉得我们看问题的重点不太一样
213800	215920	你担心的是信息不够多
215920	218000	我担心的是信息不够对
218000	220440	就算未来上下文口真的无限大
220440	223680	它也解决不了信息的质量和组织问题
223680	226560	这就好像你让一个新员工入职
226560	230360	然后直接扔给他公司过去10年所有的邮件和文档
230360	232400	指望他立刻就能上手干活
232400	233360	这可能吗
233360	236120	他肯定会被信息的噪音给淹没掉
236120	239760	关键永远在于如何体谅和组织有效信息
239760	241800	所以我们必须从现在这种
241800	244760	临时的一次性的提示词工程
244760	248560	进化到一种可附用标准化的技能工程
248560	249360	等一下
249360	251360	你说的这个技能我听着怎么
251360	252160	嗯
252160	254400	怎么有点像一个包装的更好听
254400	257120	结构更复杂的提示词模板呢
257120	258160	如果是这样的话
258160	261360	那它不是显著增加了我们创建和维护的负担吗
261360	262400	不完全是
262400	264200	模板就像是填空体
264200	266800	每次都得把所有信息重新填进去
266800	267840	很死板
267840	271400	而我说的技能它更像是一个小小的APP
271400	273400	我给你举个材料里提到的例子
273400	275640	比如整理会议机要这个任务
275640	278480	我可以创建一个核心的会议机要技能
278480	279760	它就像一个APP
279760	281200	它知道整个流程
281200	283120	比如先要识别参会人
283120	284720	再体链核心议题
284720	286440	最后总结行动点
286440	288120	然后呢我只需要告诉它
288120	289840	这次是项目复盘会
289840	293280	它就会自动去调用专门为复盘会准备的规则
293280	295680	比如要加上经验教训这一项
295680	297480	如果我告诉它这是周会
297480	299360	它就自动调用周会的规则
299360	301320	加上下周计划这一项
301320	303360	它只会加载它需要的模块
303360	306600	而不是把所有规则一股脑的三进上下纹理
306600	308000	这才是真正的智能
308000	309880	是把一个专家的隐性指示
309880	313080	沉淀成AI可以稳定执行的数字资产
313080	315400	而不是简单的复制粘贴
315400	316400	嗯
316440	318960	你这个设计听起来是很精巧
318960	321360	但我有一个很现实的问题
321360	324000	如果我的工作流程变了怎么办
324000	325600	比如我们团队这周
325600	327960	突然决定所有会议计要里
327960	330480	都要增加一个风险评估项
330480	332440	我是不是得像个程序员一样
332440	335960	回去找到那个叫SKL.MD的文店
335960	339360	然后小心翼翼的修改里面的代码或者规则
339360	342600	这听起来比我直接用嘴告诉AI一句话
342600	345920	以后计要里都加上风险评估要麻烦多了吧
345960	347560	这反而降低了灵活性
347560	350200	而且对于更复杂的任务
350200	352560	未来的方向可能根本就不是给一个
352560	355800	通用AI安装各种固化的本地技能
355800	359040	现在更前沿的思路是多智能体架构
359040	362400	也就是让一群各有所长的AI协同工作
362400	363760	一个负责搜集资料
363760	365040	一个负责写代码
365040	366320	一个负责作图
366320	368360	由一个总管来调度他们
368360	370800	清华之前那份恒火的艺人公司报告里
370800	372280	也提到了这个趋势
372280	374640	我们应该让AI自己去协作进化
374720	376600	而不是我们去像大勒高一样
376600	378440	为它预设好每一个步骤
378440	379400	你看啊
379400	381160	我们之所以要费这么大劲
381160	383520	去打造这些本地化的技能
383520	385640	它不仅仅是为了效率
385640	387800	它背后有一个更根本的原因
387800	390280	那就是我们到底信不信得过
390280	392920	把自己的核心知识和工作流程
392920	395280	完全交给一个云端平台
395280	399160	这就涉及到了数据隐私和所有权的问题
399160	401240	我为什么这么长调本地化
401240	403280	因为我亲身经历过
403280	405440	我曾经花了好几个月的时间
405440	406480	在一个知名的
406480	409200	online notebook里训练它的AI助手
409200	410720	教它我的写作风格
410720	412160	我的思考逻辑
412160	413080	结果呢
413080	415000	那个服务商一调整算法
415000	416520	或者更新了模型
416520	419240	我所有的努力一夜之间都摆废了
419240	422800	它又变回了那个什么都不懂的通用AI
422800	424520	从那以后我就明白了
424520	426200	最核心的知识体系
426200	428640	必须牢牢掌握在自己手里
428640	430520	让AI的长期记忆
430560	433720	建立在用户完全可控的数据之上
433720	436640	这是构建一个可信赖的AI伙伴的基石
436640	439320	我非常理解对数据隐私的担忧
439320	442280	但这种为了绝对安全而牺牲功能性的做法
442280	443760	代价太大了
443760	445440	这种彻底的本地化策略
445440	448040	会造成一个非常严重的信息割导
448040	449440	AI之所以强大
449440	450760	很大一部分能力
450760	454320	源于它能连接和处理海量的实实信息
454320	456400	如果你把AI完全关在你本地的
456400	457880	一推Markdown文件里
457880	460080	就等于切断了它跟外部API
460080	462840	实时数据库和整个网络的连接
462840	464880	这不又跟艺人公司报告里说的
464880	467160	通过API集成和低代码平台
467160	470520	去连接各种数字员工的趋势背道而驰了吗
470520	473400	AI应该是我们连接数字世界的桥梁
473400	474680	而不是一个
474680	476680	嗯 只能帮我们整理就笔记的
476680	478080	档案管理员 对吧
478080	480800	我不认为这是个非刺激被选择
480800	483000	本地知识库是AI理解
483000	484880	我这个核心的基础
484880	486760	是它的记忆中书
486760	488800	而外部的工具和API
488800	491040	是它执行任务的手和脚
491040	493760	这两者是互补的 不是互斥的
493760	494760	打个比方
494760	496960	AI可以在我的本地知识库里
496960	499520	先学习我过去所有项目报告的
499520	501640	写作风格和分析框架
501640	503600	这是它的大脑在学习
503600	505280	然后它调用外部API
505280	507480	去获取最新的销售数据
507480	509320	这是它的手在干活
509320	511240	最后它用我习惯的格式
511240	513560	生成一份我一看就懂的报告
513560	514800	没有本地的大脑
514800	515880	它拿回来的数据
515880	517920	就只是一堆冰稳的数字
518920	520280	你说的这个场景
520280	521800	现在有更灵活
521800	523800	更主流的技术可以实现
523800	525240	比如现在很火的
525240	527320	检设增强生成
527320	529480	也就是RAG嘛
529480	531000	你可以把它想象成是
531000	532280	给AI办了一张
532280	534520	你私人图书馆的技术卡
534520	536120	你不需要提前把图书馆里
536120	538760	所有的书都搬到AI的脑子里
538760	539920	让它背下来
539920	541880	AI只需要在回答问题的时候
541880	542920	拿着这张卡
542920	544720	去你的私有资料库里
544720	545720	不管是本地文件
545720	547200	还是云吨数据库
547200	548320	快速查一下
548320	550400	找到最相关的那几页信息
550400	552560	结合这些信息再来回答你
552560	554920	这样既能利用你的私有知识
554920	556480	又能保证数据安全
556480	558400	而且比你内众把所有东西
558400	560080	都预加在进去的方式
560080	561600	要灵活得多
561600	563680	我们人也不需要背下整个图书馆
563680	564560	我们只需要知道
564560	566120	怎么用搜索引清就行了
566120	567360	AI也是一个道理
567360	569880	你说的RAG技术确实很好
569880	571400	但它也引出了我们辩论的
571400	572560	第三个层面
572560	574000	实践的可行性
574000	575760	无论是配置RAG
575760	577760	还是你之前说的多智能体
577760	579280	对普通用户来说
579280	581320	技术门槛依然很高
581320	583200	而我体倡的这套工作流
583200	584240	恰恰是实现
584240	587040	一人公司这种超级个体模式的核心
587040	589040	它就像是把一个创始人的经验
589040	590040	和决策能力
590040	592560	变成AI可以随时调用的软件
592560	593400	这样一来
593400	595320	AI就不再只是个工具
595320	597040	而是你的数字分身
597040	598760	让你一个人就能完成过去
598760	600880	一个团队才能做到的事
600880	601560	我知道
601560	603400	初期需要投入很多精力
603400	604840	去建立这个体系
604840	607040	比如整理笔记 封装技能
607040	608680	但这个过程一旦完成
608680	610080	后面就可以一键调用
610080	612400	大幅降低长期的沟通成本
612400	614320	对于那些追求极致效率的
614320	615680	超级个体来说
615680	616960	我认为这是必经之路
616960	618440	恕我直言
618440	620800	这个账我真的算不过来
620800	624120	这种模式的试用范围实在太窄了
624120	625520	它要求用户
625520	628520	得具备相当强的技术能力
628520	630280	比如要熟练使用Gate
630280	631480	做版本控制
631480	633360	要习惯用Markdown写作
633360	635080	要理解API是什么
635080	637440	甚至还要能自己封装脚本
637440	638840	这实际上不是一个
638840	640600	给普通人的工作流
640600	642080	这是一个为程序员
642080	644440	或者技术爱好者设计的
644440	646560	AI集成开发环境
646560	648400	一个AI IDE
648400	651280	对于广大的数量庞大的普通用户
651280	654280	AI的未来一定在于开箱集用的
654280	655160	异用性
655160	657240	而不是要求他们人人都去成为
657240	659160	个人信息架构师
659160	661440	我们应该期待和推动平台方
661440	664240	提供更智能的上下文管理能力
664240	666160	比如材料里提到的混合搜索
666160	667080	结果重排序
667080	669080	动态工具发现等等
669080	671320	把这些复杂的上下文工程任务
671320	672720	下放给每个用户
672720	673880	在我看来
673880	675120	这是一种倒退
675120	676440	而不是进步
676440	677320	我相信
677320	680280	要想和AI进行真正深度的协作
680280	681840	必然需要我们自己进行
681840	684040	系统性的思考和设计
684040	686120	指望平台提供一个万能的
686120	687880	开箱集用的解决方案
687880	689240	是不现实的
689280	691680	因为最宝贵最有效的上下文
691680	693760	永远是关于你个人的知识
693760	695640	和独一无二的工作流程
696880	699120	通过主动构建AI的知识库
699120	700880	把我们的工作流程标准为
700880	702520	可附用的技能
702520	705040	我们才能将AI从一个通用的工具
705040	706120	转变为一个真正
706120	707480	理解我们需求的
707480	709320	高效可靠的伙伴工具
710080	710960	这是一种
710960	713640	先难后异的长期投资
713640	716040	是真正意义上的区迅化AI
716040	717480	让它为你所用
717480	720000	而被动的接受平台给你的一切
720000	721280	我则认为
721280	723960	虽然结构化的交互很有价值
723960	725400	但我们
725400	727000	可能不应该过分执着于
727000	728240	去构建一个复杂
728240	730440	而且封闭的个人系统
730440	732200	AI技术本身正以前
732200	733960	所谓的速度在进步
733960	735440	今天我们费尽心力
735440	737040	构建的本地工作流
737040	737960	很可能明天
737960	739400	就会被模型自带的
739400	741440	更强大的能力所取代
741440	742720	真正的效率
742720	744680	或许在于保持灵活性
744680	746120	随时准备好去拥抱
746120	747840	和利用市场上最先进
747840	749280	最易用的工具
749280	751080	而不是把自己束缚在一套
751080	752120	自己搭建的
752120	754360	可能很快又过时的体系里
754360	755480	我们应该学习的
755480	756720	是如何与一个
756720	759040	不断进化的智能体共舞
759040	760560	而不是试图为它打造
760560	762160	一个移程不变的笼子
762160	763080	今天的探讨
763080	764000	实际上触及了
764000	766280	人机协作的一个核心问题
766280	768240	我们到底应该在多大程度上
768240	770080	去改造自己的工作方式
770080	771760	来适应AI的现状
771760	772960	又可以在多大程度上
772960	776080	期待AI来主动适应我们的需求
776080	777400	或许真正的答案
777400	778320	就在于动态地
778320	780920	寻找这两者之间的平衡点
780920	783440	材料中分享的这些深入思考和实践
783440	785080	无疑为我们探索这条路径
785080	787000	提供了极具价值的试讲
